Chronological order	Codigo	Fecha de exhibición	Fecha de recepción	Fecha del evento	Tipo de información	Titulo	Read?	Duplicates?	In book? (Y / N)	If yes: Tomo/Chapter	Moved to modified transcript folder?			
88	1420	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
89	1411	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
90	1421	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
91	1410	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
92	1413	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
93	1412	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
94	1419	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.12	X			
95	1418	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.14	X	BLANK CHAPTER IN BOOK		
96	1415	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.14	X	BLANK CHAPTER IN BOOK		
97	1416	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X		Y	6/ 10.14	X	BLANK CHAPTER IN BOOK		
98	1417	4/10/01	4/9/01	3/19/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X				X			
99	1460	2/22/01	2/21/01	4/7/1999	video	JOY WAY - DELGADO PARKER - DR.	X		Y	1/ 2.7	X			
100	1459	2/22/01	2/21/01	4/7/1999	video	JOY WAY - DELGADO PARKER - DR.	X	duplicate of 1460	Y	1/ 2.7	X			
101	1488	3/13/01	3/5/01	4/21/1999	video	SR. GENARO DELGADO PARKER - DR. MONTESINOS TORRES	X	blank			X			
102	1487	3/13/01	3/5/01	4/21/1999	video	SR. GENARO DELGADO PARKER - DR. MONTESINOS TORRES	X		Y	1/ 2.8	X			
103	1568	5/11/01	4/10/01	6/12/1999	video	DR. LUIS BEDOYA DE VIVANCO - SR. RE√ÅTEGUI - DR. MONTESINOS	X		Y	3/ 5.19	X			
104	1569	5/11/01	4/10/01	6/12/1999	video	DR. LUIS BEDOYA DE VIVANCO - SR. RE√ÅTEGUI - DR. MONTESINOS	X	duplicate of 1568	Y	3/ 5.19	X			
105	1574	2/16/01	2/13/01	6/14/1999	video	REUNION DR - CMDTES GRALES - DIONISIO ROMERO	x		Y	1/ 1.6	X			
106	1575	2/16/01	2/13/01	6/14/1999	video	REUNION DR - CMDTES GRALES - DIONISIO ROMERO	x	duplicate of 1574	Y	1/ 1.6	X			
107	1601	5/11/01	4/10/01	7/5/1999	video	DR. LUIS BEDOYA DE VIVANCO - DR. MONTESINOS TORRES	X		Y	3/ 5.21	X			
108	1602	5/11/01	4/10/01	7/5/1999	video	DR. LUIS BEDOYA DE VIVANCO - DR. MONTESINOS TORRES	X	duplicate of 1601	Y	3/ 5.21	X			
109	1577	5/11/01	4/10/01	6/17/1999	video	DR. LUIS BEDOYA DE VIVANCO - DR. MONTESINOS TORRES	x		Note: the original date was incorrect; 07/17/98 is the correct date.		X			
110	1578	5/11/01	4/10/01	6/17/1999	video	DR. LUIS BEDOYA DE VIVANCO - DR. MONTESINOS TORRES	x	duplicate of 1577	Note: the original date was incorrect; 07/17/98 is the correct date.		X			
111	1604	6/30/01	5/22/01	7/19/1999	video	DOCTOR MONTESINOS TORRES - EMBAJADOR - GENERAL EP VILLANUEVA RUESTA - GENERAL EP BERGAMINO	x				X			
112	1605	6/30/01	5/22/01	7/19/1999	video	DOCTOR MONTESINOS TORRES - EMBAJADOR - GENERAL EP VILLANUEVA RUESTA - GENERAL EP BERGAMINO	x	duplicate of 1604	Y	5/ 8.19	X			
113	1609	7/9/01	5/28/01	7/19/1999	audio	REUNI√ìN DR. - CROUSILLAT - SR. WO - SR. BERTINI	x	blank			X			
114	1608	7/9/01	5/28/01	7/19/1999	video	REUNI√ìN DR. - CROUSILLAT - SR. WO - SR. BERTINI	x	blank			X			
115	1607	7/9/01	5/28/01	7/19/1999	video	REUNI√ìN DR. - CROUSILLAT - SR. WO - SR. BERTINI	x		Y	1/ 1.8	X			
116	1615	3/21/01	3/16/01	7/22/1999	video	GENERAL EP BERGAMINO - GENERAL EP SAUCEDO - GENERAL EP VILLANUEVA - ALMIRANTE IB√ÅRCENA - GENERAL FAP ELESBAN BELLO - GENERAL PNP DIANDERAS - DR. MONTESINOS TORRES	x		Y	2/ 3.4 AND 6/ 10.5	X			
117	1614	3/21/01	3/16/01	7/22/1999	video	GENERAL EP BERGAMINO - GENERAL EP SAUCEDO - GENERAL EP VILLANUEVA - ALMIRANTE IB√ÅRCENA - GENERAL FAP ELESBAN BELLO - GENERAL PNP DIANDERAS - DR. MONTESINOS TORRES	x	duplicate of 1615	Y	2/ 3.4 AND 6/ 10.6	X			
118	1678	5/24/01	5/22/01	8/25/1999	video	DR. MONTESINOS TORRES - SR. DELGADO PARKER - SR. SCH√úTZ	X	continuation of 1677	Y	1/ 2.16	X			
119	1679	5/24/01	5/22/01	8/25/1999	video	DR. MONTESINOS TORRES - SR. DELGADO PARKER - SR. SCH√úTZ	X	duplicate of 1677	Y	1/ 2.15	X			
120	1677	5/24/01	5/22/01	8/25/1999	video	DR. MONTESINOS TORRES - SR. DELGADO PARKER - SR. SCH√úTZ	X		Y	1/ 2.15	X			
121	1682	6/2/01		9/1/1999	video	Defensor del Pueblo. General EP Villanueva Ruesta. Dr. Montesinos Torres.	x		Y	6/ 10.6	X			
122	1736	5/11/01	4/20/01	9/4/1999	video	#3 SR. EDUARDO CALMELL DEL SOLAR - DR. MONTESINOS TORRES	x		Y	1/ 2.12	X	Note: the original date was incorrect; 9/4/99 is the correct date.		
123	1476	5/12/01	4/20/01	4/13/1999	audio	#1.2 SR. EDUARDO CALMELL DEL SOLAR - DR. MONTESINOS TORRES 	x	continuation of 1475	Y	1/ 2.10	X	Note: the original date was incorrect; 4/13/99 is the correct date.		
124	1753	5/11/01	4/20/01	10/5/1999	video	#4 SR. EDUARDO CALMELL DEL SOLAR - DR. MONTESINOS TORRES	x		Y	1/ 2.13	X			
125	1492	5/12/01	4/20/01	4/21/1999	audio	#2 SR. EDUARDO CALMELL DEL SOLAR - DR. MONTESINOS TORRES	x		Y	1/ 2.11	X	Note: the original date was incorrect; 4/21/99 is the correct date.		
126	1475	5/12/01	4/20/01	4/13/1999	audio	#1 SR. EDUARDO CALMELL DEL SOLAR - DR. MONTESINOS TORRES	x		Y	1/ 2.9	X	Note: the original date was incorrect; 4/13/99 is the correct date.		
127	1789	7/6/01	5/24/01	11/11/1999	video	REUNI√ìN DR. - BERTINI	x	blank			X			
128	1790	7/6/01	5/24/01	11/11/1999	audio	REUNI√ìN DR. - BERTINI	x	blank			X			
129	1788	7/6/01	5/24/01	11/11/1999	video	REUNI√ìN DR. - BERTINI	x		Y	1/ 1.9	X			
130	1792	2/16/01	2/14/01	11/26/1999	video	DIALOGO GRAL. VILLANUEVA - ALM. IBARCENA - GRAL. BELLO	x		Y	6/ 10.7	X			
131	1795	2/16/01	2/14/01	11/26/1999	video	REUNION GRAL. VILLANUEVA - GRAL. BELLO - ALM. IBARCENA - WINTER	X		Y	4/ 7.1	X			
132	1822	3/1/01	2/26/01	1/27/2000	video	DR. ALEX KOURI BUMACHAR - SR. JOS√â FRANCISCO CROUSILLAT - DR. MONTESINOS TORRES	x		Y	4/ 7.5	X			
133	1825	3/1/01	2/26/01	2/2/2000	video	DR. ALEX KOURI BUMACHAR - DR. MONTESINOS TORRES	x		Y	4/ 7.6	X			
134	1831	2/5/01	2/5/01	3/13/2000	video	DR. MANTILLA CAMPOS - DR. MONTESINOS TORRES	x		Y	4/ 6.5	X			
135	1830	2/5/01	2/5/01	3/13/2000	video	DR. MANTILLA CAMPOS - DR. MONTESINOS TORRES	x	duplicate of 1831	Y	4/ 6.5	X			
136	1833	3/1/01	2/26/01	3/15/2000	video	DR. ALEX KOURI BUMACHAR - DR. MONTESINOS TORRES	x		Y	4/ 7.7	X			
137	891	1/24/01			audio	REUNION DR, A. MONTES, L.SERPA, V.CASTILLO	-	blank						
138	890	1/24/01	05/19/98	5/19/1998	audio	REUNION DR, A. MONTES, L.SERPA, V.CASTILLO	-			Note: date was not included; correct date is 05/19/98				
												SCANNED	OCR CHECKED?	ADDED TO MODIFIED TRANSCRIPT
BR1	1583			6/22/1999	video	REUNION DR - DIONISIO ROMERO	x		Y	1/ 1.7		X	X	X
BR2	896			1/20/1998	audio	REUNION VERA GUTIERREZ			Y	1/ 2.1		X	X	X
BR3	1364			4/4/1999	audio	REUNION JOY WAY - GENARO DELGADO PARKER	x		Y	1/ 2.5		X	X	X
BR4	1365			4/4/1999	audio	REUNION JOY WAY - GENARO DELGADO PARKER	x	continuation of 1365	Y	1/ 2.6		X	X	X
BR5	1780			11/6/1999	audio	CALMELL-VICENTE-GRAL. DELGADO	X		Y	1/ 2.14		X	X	X
BR6	SN/SF			sin fecha	video	REUNION DR. - JOY WAY - SCHUTZ			Y	1/ 2.17		X	X	X
BR7	1782			11/10/1999	video	REUNION DR. - PALERMO	x		y	1/ 2.18		X	X	X
BR8	B - 139 "4A"			sin fecha	audio	SIN TITULO	x		Y	1/ 2.19		X	X	X
BR9	C - 72			sin fecha	video	ALAMO	x		Y	1/ 2.20		X	X	X
BR10	Video sin Numero (M-02)			sin fecha	video	SIN TITULO	-	blank	Y	1/ 2.21	Blank chapter	X	-	
BR11	1019			sin fecha	video	BARUCH IVCHER	-	blank	Y	1/ 2.22	Blank Chapter	X	-	
BR12	C-72			2/26/1998	audio	SR. AMERICANO CASO BARUCH			Y	2/ 4.1		X	X	X
BR13	1172			9/8/1998	audio	ENTREVISTA ALEX KOURI-DR	X		Y	2/ 4.5		X	X	X
BR14	1174			9/9/1998	video	DR. - ALEX KOURI - PRIMO	X		Y	2/ 4.6		X	X	X
BR15	1177			9/10/1998	audio	REUNION DR. ALEX KOURI			Y	3/ 5.10		X	X	X
BR16	1182			9/15/1998	audio	DIALOGO: DR. - ALEX KOURI BUMACHAR			Y	3/ 5.11		X	X	X
BR17	1324			11/23/1998	video	MANUEL GUILLEN Y VLADIMIRO MONTESINOS			Y	3/ 5.16		X	X	X
BR18	1557			6/12/1999	video	LUIS BEDOYA DE VIVANCO, TOMAS GONZALEZ Y VLADIMIRO MONTESINOS	x	duplicates of XXX	Y	3/ 5.20		X	X	X
BR19	1558			6/12/1999	video	LUIS BEDOYA DE VIVANCO, TOMAS GONZALEZ Y VLADIMIRO MONTESINOS	X		Y	3/ 5.20		X	X	X
BR20	N/A			5/.../2000	audio	ALBERTO KOURI - VLADIMIRO MONTESINOS			Y	4/ 6.6	Original doesn't exist in in archives of Congress	X	X	X
BR21	1798			12/3/1999	video	REUNION DOCTOR MONTESINOS TORRES - CHIRINOS SOTO	X		Y	4/ 7.2		X	X	X
BR22	1806			12/25/1999	video	REUNION DR. - KETIN VIDAL	X		Y	4/ 7.3		X	X	X
BR23	1809			12/25/1999	video	REUNION DR. - KETIN VIDAL	X		Y	4/ 7.4	Response to proposal in 4/ 7.3	X	X	X
BR24	352-A			7/28/2000	audio	REUNION FRANCISCO TUDELA Y VLADIMIRO MONTESINOS	x	no date possibly before 7/28/2000	Y	4/ 7.8		X	X	X
BR25	B/1-B			sin fecha	audio	SIN TITULO			Y	4/ 7.9		X	X	X
BR26	351-A (1)			8/.../2000	audio	REUNION CARLOS BOLOÑA Y VLADIMIRO MONTESINOS	x		Y	4/ 7.10		X	X	X
BR27	351-A (side B)			8/.../2000	audio	REUNION FUNCIONARIO DEL BANCO WIESE Y VLADIMIRO MONTESINOS			Y	4/ 7.11		X	X	X
BR28	1692			7/.../1999	video	REUNION DR. - JOY WAY - BUSTAMANTE - GROSS	x	no date possibly July 1999	Y	5/ 8.1		X	X	X
BR29	924			5/28/1998	video	REUNION ALMIRANTE PATRICIO ARANCIBIA CON EL DOCTOR			Y	5/ 8.2	924-927	X	X	X
BR30	925			5/28/1998	video	REUNION ALMIRANTE PATRICIO ARANCIBIA CON EL DOCTOR		continuation of 924	Y	5/ 8.3		X	X	X
BR31	926			5/28/1998	video	REUNION ALMIRANTE PATRICION ARACIBIA CON EL DOCTOR		duplicate of 924	Y	5/ 8.4		X	X	X
BR32	s/n			6/13/1997	video	MONCAYO			Y	5/ 8.5		X	X	X
BR33	A15-B8			sin fecha	video	REUNION DE FRANCISCO TUDELA Y VLADIMIRO MONTESINOS	x		Y	5/ 8.8		X	X	X
BR34	P/I Siberia Casete B			8/18/2000	video	JOSE LUIS Y LUIS FRANK AYBAR CANCHO (TRAFICO DE ARMAS FARC-COLOMBIA)			Y	5/ 8.9		X	X	X
BR35	P/I CASETE C			sin fecha	video	SIBERIA-JOSE LUIS Y LUIS FRANK AYBAR CANCHO (TRAFICO ARMAS FARC)			Y	5/ 8.10		X	X	X
BR36	P/I CASETE D			sin fecha	video	JOSE LUIS Y LUIS FRANK AYBAR CANCHO (TRAFICO DE ARMAS FARC-COLOMBIA)			Y	5/ 8.11		X	X	X
BR37	P/I CASETE E			sin fecha	video	TOMA DE GENERALES DE LEY, COMUNICACION DE APERTURA DE INSTRUCCION Y TRASLADO DE LOS DETENIDOS A LOS PENALES CASTRO CASTRO Y SANTA MONICA			Y	5/ 8.12		X	X	X
BR38	848			4/21/1998	video	VISITA-BARRY MC CAFFREY (BRESAN)			Y	5/ 8.17		X	X	X
BR40	894			5/20/1998	audio	REUNION: DR. - DR. COSTA B. Y EMBAJADOR JETT			Y	5/ 8.18		X	X	X
BR41	1613-A 			7/22/1999	audio	DIALOGO DOCTOR-DON-DOS AMERICANOS-ROZAS	x		Y	5/ 8.20		X	X	X
BR42	1663			8/18/1999	audio	DR. M. SALUD - SRA. HEATHER (EMB. USA) 1 Y 2 RESPECTIVAMENTE	x		Y	5/ 8.21		X	X	X
BR43	351-A			sin fecha	audio	REUNION DESCONOCIDO Y VLADIMIRO MONTESINOS			Y	5/ 8.22		X	X	X
BR44	1014			3/25/1997	audio	JAVIER ALVA ORLANDINI Y VICTOR GARCIA			Y	5/ 9.1		X	X	X
BR45	1015			3/25/1997	audio	JAVIER ALVA ORLANDINI Y VICTOR GARCIA			Y	5/ 9.1		X	X	X
BR46	1016			3/26/1997	video	LUIS PERCOVICH			Y	5/ 9.2		X	X	X
BR47	1017			3/26/1997	video	PABLO CID			Y	5/ 9.3		X	X	X
BR48	1018			sin fecha	video	GENERAL W. VERNON - BARUCH IVCHER	-	Blank Chapter	Y	5/ 9.4	Blank Chapter	X	-	-
BR49	1209			9/20/1998	video	CAIGA QUIEN CAIGA	-	Blank Chapter	Y	5/ 9.5	Blank Chapter	X	-	-
BR50	1359			3/11/1999	video	VIAJE DR.	-	Blank Chapter	Y	5/ 9.6	Blank Chapter	X	-	-
BR51	M-1B			3/11/1999	video	ACTIVIDADES DOCTOR MONTESINOS - ALTA DIRECCION	-	Blank Chapter	Y	5/ 9.7	Blank Chapter	X	-	-
BR52	1020			sin fecha	video	BARUCH IVCHER - CAMPO DE TIRO	-	Blank Chapter	Y	5/ 9.8	Blank Chapter	X	-	-
BR53	S/N			sin fecha	video	CASO ALAN GARCIA	-	Blank Chapter	Y	5/ 9.9	Blank Chapter	X	-	-
BR54	1538			sin fecha	video	SPOT APRA - 20 SEGUNDOS	-	Blank Chapter	Y	5/ 9.10	Blank Chapter	X	-	-
BR55	1352-B			sin fecha	video	CONVERSACIONES TELEFONICAS INTRASCENDENTES	-	Blank Chapter	Y	5/ 9.11	Blank Chapter	X	-	-
BR56	1312			1/12/1998	video	REUNION DOCTOR - PATRICIO RICKETTS			Y	6/ 10.1		X	X	X
BR57	C-72			2/7/2000	audio	MOROTE - DR. - MOTIN DE YANAMAYO- PUNO	x		Y	6/ 10.8		X	X	X
BR59	B 139 A-4				audio	REUNION DE LA CUPULA MILITAR Y VLADIMIRO MONTESINOS			Y	6/ 10.9		X	X	X
BR60	353			sin fecha	audio	REUNION DE JEFES POLICIALES Y VLADIMIRO MONTESINOS			Y	6/ 10.10		X	X	X
BR61	1395 - 1399			3/19/1999	video	REUNION DE CORONELES DE LAS FUERZAS ARMADAS Y DE LA POLICIA NACIONAL DEL PERU	-	Blank Chapter	Y	6/ 10.13	BLANK CHAPTER IN BOOK	X	-	-
BR62	s/n			sin fecha	video	AYBAR	-	Blank Chapter	Y	6/ 10.15	BLANK CHAPTER IN BOOK	X	-	-
BR63	921			sin fecha	video	ENTREVISTAS	-	Blank Chapter	Y	6/ 10.16	BLANK CHAPTER IN BOOK	X	-	-
BR64	849			4/22/1998	video	CEREMONIA EN LA REPLICA	-	Blank Chapter	Y	6/ 10.17	BLANK CHAPTER IN BOOK	X	-	-
BR65	699			9/20/1997	video	CONSEJO SUPREMO DE JUSTICIA MILITAR	-	Blank Chapter	Y	6/ 10.18	BLANK CHAPTER IN BOOK	X	-	-
BR66	942 - 947			5/20/1998	video	CUMPLEAÑOS DR. MONTESINOS	-	Blank Chapter	Y	6/ 10.20	BLANK CHAPTER IN BOOK	X	-	-
BR67	1208			sin fecha	audio	DECLARACIONES DE VLADIMIRO MONTESINOS	-	Blank Chapter	Y	6/ 10.21	BLANK CHAPTER IN BOOK	X	-	-
BR68	C-72			9/25/1995	audio	CONVERSACIONES TELEFONICAS DE ABIMAEL GUZMAN	-	Blank Chapter	Y	6/ 10.22	BLANK CHAPTER IN BOOK	X	-	-