n,date,speakers,original_n,Missing Topic,in_book,in_online_archive,type,topic_referendum,topic_ecuador,topic_lucchetti_factory,topic_municipal98,topic_reelection,topic_miraflores,topic_canal4,topic_media,topic_promotions,topic_ivcher,topic_foreign,topic_wiese,topic_public_officials,topic_safety,topic_state_capture,summary
68,7/22/1999,"General EP Bergamino, General EP Saucedo, General EP Villanueva, Almirante Ibarcena, General FAP Elesban Bello, General PNP Dianderas, Montesinos Torres","1614, 1615",,x,x,video,,,,,,,,,x,,x,,x,,,"Montesinos meets military leaders to plan leadership changes and legislative reforms in the armed forces. They agree to revise the Ley de Situacion Militar to limit commander tenure and preserve rank post-retirement. General Saucedo is named Minister of the Interior and Army Commander, replacing Villanueva, who will be honored publicly. Montesinos warns that the reelection campaign will bring media attacks against the armed forces, urging unity. They also discuss unfair U.S. aid distribution to Colombia and Bolivia compared to Peru. A proposal is made to form a civilian group representing victims of displacement. The session demonstrates coordinated leadership reshuffling, reelection planning, and control over civil-military relations."
70,8/25/1999,"Montesinos Torres, Delgado Parker, Schutz","1677, 1678, 1679",,x,x,video,,,,,,,x,x,,,,,,,,"Montesinos, Manuel Delgado Parker, and Ernesto Schutz discuss controlling Laura Bozzo’s media presence and criticize the Crousillats for their financial mismanagement. With Canal 4 facing $160 million in debt, they mock the Crousillats’ lack of leadership and business acumen. Delgado asks Montesinos for legal help in several cases, but Montesinos declines to bribe judges, fearing it would set a costly precedent. The group discusses the declining popularity of Andrade and the reelection goal of securing 44% of the vote by December. They react to El Comercio's reporting of corruption in SIN, viewing it as a deliberate attack. Plans are made to launch a media campaign promoting the government while criticizing opposition figures like Hildebrandt. The conversation reveals intertwined legal, media, and electoral control strategies."
76,11/11/1999,"Montesinos Torres, Bertini","1788, 1789, 1790",,x,x,video,,,,,,,x,,,,,x,,,,"Bertini reports improved financial stability at Banco Wiese after intervention, though he blames prior mismanagement by the Wiese family. Montesinos asks about other banks, learning that Banex is near bankruptcy while others are stable. Bertini offers Montesinos offshore banking services through Panama and the Caymans and proposes setting up a company to legally disguise deposits. They discuss the financial struggles of Canal 2 and Canal 4, noting that many TV channels are being sold due to crisis. Samuel Winter and Jose Francisco Crousillat join the conversation seeking new investors. Bertini stresses that Peru’s financial sector is overly debt-ridden and lacks capital, complicating recovery. The conversation blends high-level financial planning, crisis response, and covert asset management."
85,3/13/2000,"Mantilla Campos, Montesinos Torres","1830, 1831",,x,x,video,,,,,x,,,,,,,,,,,"Montesinos and Agustin Mantilla Campos have a brief meeting where Montesinos gives him $30,000 for campaign support. They discuss Jorge del Castillo, whom Montesinos labels dangerous but not worth eliminating, expecting his political decline. Montesinos confirms he has ordered Canal 2, 4, and 7 to increase Mantilla’s media presence. Future collaboration in 2005 is mentioned, suggesting long-term political planning. The conversation highlights how financial incentives and media influence were used to control electoral outcomes. It also suggests a hierarchy of political targets and timing for intervention. The transcript is a snapshot of transactional politics under Montesinos’s influence."
102,9/15/2000,Montesinos Torres,351-A,x,x,,audio,,,,,,,,x,,,,x,,,x,"Montesinos and an unidentified associate discuss extensive criminal activity including vote fraud, bribery, and money laundering through multiple banks. They detail using offshore accounts and contingency plans to hide large sums of money in safe houses. Plans to plant operatives in legal institutions and SUNAT are discussed to manipulate the judiciary. They mock anti-Fujimori protesters and emphasize controlling media narratives while recording conversations for future leverage. Montesinos discusses his distrust of associates and insists only his daughter know key escape plans. He seeks a future role with legal immunity similar to Pinochet's post-dictatorship position. The conversation exposes the depth of corruption, institutional capture, and paranoia inside Montesinos’s network."
89,8/15/2000,"Carlos Boloña, Montesinos Torres",351-A (1),,x,,audio,,,,,,,,,x,,,,,,,Montesinos and Carlos Boloña plan a military coup to be executed by the armed forces that week. They discuss who will retain power in the post-coup government and list enemies to be neutralized. The transcript reveals last-minute preparations for authoritarian control amid political instability. Key figures such as Hugo de Zela and Blanca Nelida Colan are slated to hold senior posts. The urgency and scope of the plan illustrate the regime’s desperation to retain power. It confirms the military’s central role in the intended regime continuity. The meeting captures the final stages of a collapsing autocracy.
90,8/15/2000,"Funcionario del Banco Wiese, Montesinos Torres",351-A (side B),x,x,,audio,,,,,,,,x,,,,x,x,,,"Montesinos meets with a Banco Wiese official to strategize how to insulate the bank from investigations linked to the Banex collapse. He promises to suppress negative media and coordinate with friendly journalists. They discuss ways to delay Congressional scrutiny and shape public perception of the banking crisis. Montesinos claims influence over the SBS and other regulatory bodies, assuring the banker of protection. The transcript underscores the fusion of financial and political power. Montesinos acts as both crisis manager and public relations fixer. It reveals systemic corruption shielding Peru’s financial elite."
88,7/28/2000,"Francisco Tudela, Montesinos Torres",352-A,,x,,audio,,,,,x,,,x,,x,,,,,,"Montesinos urges Francisco Tudela not to run for president of Congress, citing anticipated political instability. He recommends Martha Hildebrandt as a loyal but neutral alternative. Tudela voices dissatisfaction with Beatriz Boza’s leadership at PromPeru and suggests her removal. The two agree that Baruch Ivcher poses a serious threat, and plot to force his exit from Canal 2. Plans are made to mobilize military spokespeople to attack Ivcher in state media. The conversation shows Montesinos’s direct involvement in legislative appointments, institutional purges, and media manipulation. It reflects an authoritarian approach to dissent and press freedom."
16,4/3/1998,"NM C-90, Montesinos Torres","806, 807, 808, 809",,x,x,audio,,,,,x,,,,,,,,,x,x,"Congressional and legal leaders meet under Montesinos’s supervision to plan how to maintain regime control leading up to the 2000 elections. They discuss manipulating judicial appointments, undermining legal requirements, and targeting obstacles like Aljovin. Plans are made to centralize police control under the executive during national emergencies. A proposed law would bypass judicial oversight in security matters. Concerns about Sendero Luminoso and internal threats justify the measures. The meeting reveals a calculated effort to bend constitutional law for political survival. Montesinos positions himself as the architect of authoritarian legal control."
15,3/6/1998,"Andronico Luksic, Montesinos Torres","857, 856",,x,x,video,,,x,,,,,,,,,,,,,"Montesinos meets with a Lucchetti representative to discuss legal strategies for an ongoing dispute with Mayor Andrade over a pasta factory. They coordinate the appeal process, with Montesinos guaranteeing a favorable outcome. They also talk about public opinion challenges and possible media framing. Montesinos emphasizes the state's power in defeating terrorism and recounts the embassy hostage crisis. They end with an exchange of contacts and assurances that the legal process will be resolved soon. The transcript shows Montesinos blending personal influence, legal manipulation, and nationalist rhetoric. It’s another example of his behind-the-scenes orchestration of justice and business affairs."
20,4/29/1998,"Luisa Maria Cuculiza Torre, General EP Briones, Montesinos Torres, Alberto Fujimori","880, 881",,x,x,video,,,x,,,,,,,,,,,x,,"Montesinos and Mayor María Luisa Cuculiza Torre discuss deepening federal-district cooperation in San Borja, praising her efforts and proposing new public security measures. They propose the ""Ley de la Vagancia"" to reclassify petty crimes as terrorism, claiming judges are too afraid to act against street gangs. The conversation touches on political optics, including undermining Andrade’s popularity through security initiatives. Cuculiza requests funds for women’s issues and criticizes the Ministry of Women’s limited power. When Fujimori joins, he congratulates Cuculiza and addresses crime concerns. The tone becomes self-congratulatory, reinforcing their shared commitment to security and governance. They briefly mention the SIN's role and the Lucchetti case, with much of the final audio unclear."
21,5/3/1998,"Alipio Montes de Oca, Castillo, Serpa, Montesinos Torres","888, 889",,x,x,video,,,,,x,,,,,,,,,,x,"Montesinos and Supreme Court judge Alipio Montes de Oca discuss judicial reforms to centralize power and remove disloyal figures like José Dellepiane. Montesinos proposes transferring Oca to head the Jurado Nacional de Elecciones, promising $10,000 plus salary for his cooperation. The reforms aim to expedite trials, limit appeals, and maintain Fujimori’s control through 2005. Serpa and Castillo join later, and all are asked to sign a resolution to be published in El Peruano. They emphasize the need for the reforms to outlast Fujimori’s second term. Montesinos portrays the reforms as legacy-building while strategically weakening opposition and judiciary independence. The conversation exposes Montesinos’s direct involvement in judicial manipulation and payoffs."
26,6/12/1998,"Javier Valle Riestra, Montesinos Torres","910, 911, 912",,x,x,video,x,,,,x,,,,,,,,,x,,"Montesinos and Valle Riestra debate the merits of a referendum challenging Fujimori’s reelection, with Montesinos arguing voters care more about employment than constitutional issues. He tasks Valle Riestra with supporting the national reconstruction plan and leading judicial reforms. Though against reelection, Valle Riestra concedes that Fujimori’s rivals are weak, and Montesinos assures him the referendum will not pass. The discussion shifts to foreign policy, particularly resolving the Ecuador conflict to refocus on domestic priorities. Montesinos emphasizes urgency around judicial reform and national stability. Valle Riestra is encouraged to align with the administration as Prime Minister. The exchange frames institutional control as essential to Fujimori’s continued rule."
25,5/28/1998,"Patricio Arancibia, Montesinos Torres","924, 925, 926",x,x,,video,,,,,,,,x,,,x,,,x,x,"Montesinos meets with Health Minister Costa Bauer to plan anti-narcotics legislation and later hosts Chilean Admiral Arancibia to discuss military and ideological cooperation. Costa Bauer proposes reforms to money laundering laws, while Montesinos recommends decrees on banking surveillance, naval interdiction, and media control. They coordinate damage control over media coverage of U.S.–Peru tensions, suggesting a joint appearance with the U.S. ambassador. In the second meeting, Montesinos and Arancibia reflect on military modernization, the value of secrecy, and shared hostility toward the media. They praise Pinochet and discuss intelligence-led operations like Chavín de Huántar. Both meetings illustrate strategic alignment of legal, diplomatic, and military frameworks to reinforce regime control. Montesinos blends lawfare, propaganda, and regional influence in both domestic and international contexts."
32,7/24/1998,Altos mandos castrenses,"974, 975, 976, 977, 978",,x,x,video,,,,,x,,,,,,,,,,x,"Montesinos is honored by the Air Force with the nation's highest aeronautical distinction for his counterterrorism role. In his speech, he praises silent, behind-the-scenes work and reflects on past efforts against narcotraffickers and subversion. The group discusses judicial reforms designed to expedite low-level criminal cases and reduce police corruption. Montesinos outlines referendum mechanisms related to Fujimori’s reelection and the new constitution, explaining steps under Articles 31 and 17. He critiques public resistance and emphasizes legal workarounds. The session reveals how legal, military, and political institutions are being aligned for regime longevity. The event combines ceremony with high-level strategic planning."
98,4/15/2000,"Francisco Tudela, Montesinos Torres",A15-B8,,x,,video,,,,,,,,,,,x,,,,,"Montesinos claims to have deep intelligence networks in Colombia, with agents embedded for years and providing better intel than even the U.S. receives. He recalls being ordered to execute Abimael Guzmán in 1992 but delayed it to trace terrorist finances. Montesinos claims to have befriended Guzmán, recording thousands of hours of their conversations. He expresses concern over the future of the armed forces, to which Tudela reassures him that his leadership is vital. The conversation reveals Montesinos’s psychological operations, long-term intelligence infiltration, and cultivation of narrative control. It also highlights the personalized, extralegal handling of counterterrorism. The tone is both conspiratorial and strategic."
95,6/15/2000,Montesinos Torres,"B - 139 ""4A""",,x,,audio,,,,,,,x,x,,x,,,,,,"Montesinos discusses the torture of a man who had received several “vladivideos,” believed to be journalist Fabián Salazar. He dismisses the victim’s account, planning to discredit him publicly and release counter-narratives through state media. The conversation reflects fear of the growing scandal and intent to target Baruch Ivcher and Canal 2. Plans are made to air government-friendly coverage on Canal 4’s Hora 20. The meeting reveals how torture and intimidation were used to suppress leaks while manipulating public perception. It also shows an urgent effort to control damage during a politically vulnerable time. The regime’s repressive tactics are laid bare."
103,4/1/2000,"Cupula militar, Montesinos Torres",B 139 A-4,x,x,,audio,,,,,x,,,x,,,,,,,x,"Montesinos meets with top military officers to plan electoral fraud and maintain control ahead of the 2000 presidential runoff. They discuss bribing congressmen, manipulating actas (vote tallies), and reallocating intelligence funds to control the media and judiciary. Monthly payments from military branches fund propaganda operations, including ""chicha"" tabloids. They coordinate responses to the Salazar torture scandal and ensure military readiness. Montesinos micromanages everything, including seating plans and message uniformity. Foreign relations are also addressed, with embassies being enlisted for legitimacy. The meeting exemplifies authoritarian coordination through financial, military, and media control."
97,4/1/2000,Montesinos Torres,B/1-B,x,x,,audio,,,,,x,,,x,,,,,,,,"Montesinos and associates plan strategic communications around Semana Santa, fearing low public engagement during religious holidays. They delay messaging and focus on discrediting Alejandro Toledo through media narratives. The conversation highlights efforts to maintain media loyalty with ongoing financial incentives. Montesinos warns that media outlets may turn on the regime if they feel abandoned. The dialogue captures the importance of timing, coordination, and perception in electoral propaganda. It underscores the fragility of their media alliances. The focus is on maintaining a facade of legitimacy while suppressing dissent."
84,2/7/2000,"Osmán Morote, María Pantoja, Montesinos Torres",C-72,,x,,audio,,,,,,,,,,,,,,x,,"Montesinos reprimands prison officials Morote and Pantoja after a Sendero Luminoso-led riot at Yanamayo prison. He orders cleanup of physical evidence, aid to wounded staff and inmates, and a press blackout. He expresses distrust, repeating that obedience is necessary to prevent backlash. Pantoja joins the call, confirming communication issues and discussing Feliciano, a former insurgent now seemingly cooperating with Montesinos. Montesinos hints that Feliciano has changed sides and will send surprising news. He instructs officials to falsify reports and limit the incident to internal records. The transcript showcases control over prison narratives and intelligence cooptation."
96,4/25/1999,"Alamo Perez, Alberto Fujimori, Montesinos Torres",C-72 (1),,x,,video,,,,,,,x,,,,,,,,,"Montesinos and Fujimori give a joint interview with journalist Álamo Pérez Luna about the MRTA hostage crisis. Fujimori emphasizes peaceful resolution and personal command over intelligence operations. Montesinos adds that surveillance and timing were key to the successful rescue. They reveal SIN rented nearby homes to monitor MRTA and paid homeowners to keep media at bay. Montesinos coordinated the assault after verifying terrorist locations. The segment was edited before broadcast, shaping the narrative of state strength and competence. The interview aims to portray a heroic, coordinated government."
13,2/26/1998,"""señor americano"", Montesinos Torres",C-72 (2),x,x,,audio,,,,,,,,,,x,x,,,,,"Montesinos meets with an American regarding the Yanacocha mining case and alleged smear campaigns by Baruch Ivcher. They discuss judicial manipulation, including securing favorable votes and blocking rivals aligned with French interests. Montesinos assures the American of a favorable ruling and downplays accusations of persecution. He hints at reciprocity without explicitly requesting bribes. They mention U.S.-linked lawyers and Jewish community support. Montesinos outlines efforts to prevent Ivcher's narrative from taking hold abroad. The meeting reveals cross-border judicial interference, covert lobbying, and regime paranoia."
92,8/18/2000,"Ivachini, Diplomaticos",M04-1,,,x,video,,,,,,,,,,,,,,,,
93,8/20/2000,Ivachini,M04-2,,,x,video,,,,,,,,,,,,,,,,
18,4/14/1998,Ivachini,M04-3,,,x,video,,,,,,,,,,,,,,,,
87,5/15/2000,"Alberto Kouri, Montesinos Torres",N/A,x,x,,audio,,,,,x,,,x,,,,,,,x,"In this pivotal video-recorded meeting, Vladimiro Montesinos negotiates Congressman-elect Alberto Kouri’s defection from the opposition party Perú Posible to the ruling party, Perú 2000. Kouri explains his intent to resign discreetly, citing internal exclusion, and seeks to manage the optics to appear principled rather than opportunistic. Montesinos emphasizes the urgency of having Kouri aligned by August to influence key congressional votes, especially for electing new leadership. The two agree on a $15,000 payment for Kouri’s campaign expenses, with additional support promised through intermediaries. They also discuss recruiting more defectors and using grassroots programs in Callao to build political support. The staged defection is intended to occur after the July 28 congressional transition for strategic impact. This meeting became infamous when the video was later released publicly, triggering the downfall of the Fujimori regime."
99,8/20/2000,"Jose Luis, Luis Frank Aybar Cancho",P/I Casete C,x,x,,video,,,,,,,,,,,,,,x,,"Peruvian State Security conducted a coordinated operation targeting Víctor Ivachine, a Russian national suspected of arms trafficking to the FARC, along with his local associates. Authorities searched multiple properties tied to Ivachine, the Aybar Cancho brothers, and others, recovering documents, passports, VHS tapes, and a police vest found in a vehicle Ivachine claimed to have bought second-hand. Ivachine was questioned about his mining interests, aviation background, and ties to Luis Aybar, whom he identified as a business partner. Surveillance footage captured Ivachine meeting with individuals linked to the Russian Embassy, including multiple vehicles with diplomatic plates. He was also observed visiting various public places with suspected embassy personnel. Though much of the evidence required further analysis, Ivachine was formally detained and taken to State Security offices. The operation highlighted concerns about international coordination in arms trafficking activities."
100,8/30/2000,"Jose Luis, Luis Frank Aybar Cancho",P/I Casete D,x,x,,video,,,,,,,,,,,,,,x,,"This transcript documents the police raid on the home of José Manuel López Rodríguez, a Spanish national and business partner of the Aybar Cancho brothers, accused of arms trafficking to the FARC. Authorities search the property early in the morning, questioning López’s wife, Raquel Smith, who offers limited information about her husband's activities and business background. The search reveals personal documents, travel records, foreign correspondence, and various personal effects tied to López, who had recently left the residence and remained missing at the time of the raid. Officers also search vehicles registered to the family, uncovering insurance policies, driving licenses, and miscellaneous documents. Despite extensive questioning, Raquel Smith maintains limited knowledge of her husband's business dealings, claiming he worked in international transport. The operation concludes with the collection of documents and digital devices, but no immediate evidence of contraband. Additional footage documents related surveillance activities and secondary inspections at other properties."
101,9/15/2000,"Liliana Villarreal, Arnulfo Alvarado, Luis Frank Aybar",P/I Casete E,x,x,,video,,,,,,,,,,,,,,x,,"This transcript documents the legal processing and subsequent transfer of individuals detained under “Plan Siberia” for arms trafficking to the FARC. Over several days in early September, detainees—such as Víctor Ivachine, Luis Frank Aybar Cancho, Liliana Villarreal Landeo, José Manuel López Rodríguez, and others—are brought from police cells at DININCRI to a judicial chamber where judges formally collect their personal details (“generales de ley”) and inform them of the charges against them. Each detainee signs documents and provides fingerprints before returning to their cells. On September 25, authorities conduct a heavily coordinated transfer operation, moving male detainees to Castro Castro prison and female detainees, including Villarreal Landeo, to Chorrillos. The operation includes multiple law enforcement and intelligence vehicles, with live radio communications tracking the convoy's movement across Lima. The footage shows detainees with covered faces being escorted into high-security prison facilities. The operation exemplifies the procedural and logistical scale of prosecuting those implicated in high-level arms trafficking conspiracies."
91,8/18/2000,"Luis Frank Aybar Cancho, José Manuel López Rodríguez, Rhaquel Granda, Del Mar Colina",P/I Siberia Casete B,x,x,,video,,,,,,,,,,,,,,x,,"This transcript documents a State Security operation targeting suspected arms traffickers Luis Frank Aybar Cancho and José Manuel López Rodríguez, accused of supplying weapons to the FARC. Authorities search properties in Chaclacayo and Chosica, uncovering documents, IDs, cell phones, and foreign passports. Rhaquel Granda Zapata testifies that she was coerced into sheltering the suspects and transporting them. López Rodríguez is interrogated and claims to be a Spanish business advisor. A related search at José Alejandro Del Mar Colina’s home reveals links to Japanese entities and a FAP general, along with a hunting shotgun and business documents. A car used in the operation is found registered under a shell company, “Sistemas Estratégicos Financieros S.A.” The operation highlights the intersection of arms trafficking, foreign actors, and potential military complicity."
4,6/13/1997,General EE Francisco Moncayo,s/n,x,x,,video,,x,,,,,,x,,,,,,,,"This official propaganda video, produced by the Peruvian Ministry of Defense, integrates clips from an interview with Ecuadorian General Francisco Moncayo and nationalistic messaging related to the Cenepa War. It accuses both foreign and domestic actors of attempting to undermine Peru’s sovereignty and suggests that the Peruvian media may be complicit in advancing anti-national interests. The video criticizes the press for allegedly amplifying forged documents meant to discredit the Armed Forces. A voiceover denounces these publications and questions the loyalty of media outlets that provide a platform to such narratives. The closing message, “Fuerzas Armadas del Perú,” reinforces the military’s role as defender of the nation. The video was preserved in Montesinos’s personal audiovisual archive, known as the ""vladiteca."" It exemplifies the regime’s use of state media to promote militarized patriotism and suppress dissenting views."
94,7/15/2000,"Joy Way, Schutz, Montesinos",SN/SF,x,x,,video,,,,,,,,x,,,,,x,,x,"In this infamous video-recorded meeting, Vladimiro Montesinos hands Panamericana TV executive Ernesto Schütz a $330,000 bribe, while Víctor Joy Way facilitates and discusses future coordination. Schütz expresses legal concerns regarding property disputes and judicial pressures, and Montesinos assures him of protection from SUNAT and IPSS starting in January. They plan to manipulate media narratives through staged interviews with ex-Sendero Luminoso members and portray President Fujimori as a hero in upcoming projects. Montesinos promises encrypted phones for secure communication and control over judges, journalists, and media channels, including Hildebrandt and Canal 13. They also discuss undermining political opponents and using the OEA and Castillo Petrucci’s case to justify increased state authority. This tape, uncovered after Montesinos’s arrest, became critical evidence of high-level media corruption and state-sponsored propaganda. The meeting captures the regime’s systemic use of bribes, disinformation, and institutional control."