Speaker,Frequency
HERNANDEZ CANELO,18
SERPA,14
ALEX KOURI,11
VILLANUEVA RUESTA,11
DELGADO PARKER,11
IBARCENA,10
ARCE,9
LOCUTOR,8
MONTES DE OCA,8
SANTANDER,7
JOY WAY,7
BELLO VAZQUEZ,6
CROUSILLAT,6
CALMELL,5
HERMOZA RIOS,4
BOROBIO,4
VERA,4
MONROE,4
FUJIMORI,4
VALLE RIESTRA,4
ISRAEL,4
HUAMAN,4
BEDOYA,3
LUCCHETTI,3
BERGAMINO,3
DIANDERAS,3
LEWIS,3
MEDELIUS,3
PANDO,3
BERTINI,3
SAUCEDO SANCHEZ,3
REATEGUI,3
ROMERO SEMINARIO,3
AMERICANO,2
MELLADO,2
ALBARRACÃ­N,2
TUDELA,2
FERRERO,2
AYBAR,2
HURTADO MILLER,2
CAMPOS,2
SAUCHEDO SANCHEZ,2
EMBAJADORA,2
CUCULIZA,2
IVACHINE,2
ESPICHAN,2
TRELLES,2
VIDAL,2
GUZMAN,2
COSTA,2
VELIT,2
REPRESENTANTE ESTADOS UNIDOS,2
SALGADO,2
SCHUTZ,2
PEREZ,1
BOLONA,1
GUILLEN,1
VERA ABAD,1
MAHUAD,1
CRNL RAMIREZ,1
CHIRINOS,1
RICKETTS,1
ALBERTO KOURI,1
PALERMO,1
ROZAS,1
GENERAL DELGADO,1
SILVA,1
DOUFOUR,1
GAMARRA,1
NORIEGA,1
MOROTE,1
CANO ANGULO,1
SALAZAR,1
CESAR CANO,1
PANTOJA,1
TAFUR,1
ALVA,1
VENERO,1
MANUEL LOPEZ,1
AMOIN,1
BLANCO,1
QUISPE,1
MARCENARO,1
LOZADA,1
GONZALES,1
MALEA,1
RUIZ,1
LOPEZ,1
VILLAREAL,1
SMITH,1
DE LOPEZ,1
GARCIA,1
BURNET,1
MACCAFFREY,1
HERMOZA,1
BELLO VASQUEZ,1
PANDOLFI,1
PERCOVICH,1
DAVILA,1
CASTILLO,1
DELLEPIANE,1
BELTRAN,1
JETT,1
ARANCIBIA,1
LUPIS,1
BURNEI,1
IBERICO,1
BRINGAS,1
FRANCISCO KOURI,1
MONCAYO,1
CENEPO,1
